rtt_ms,carrier,server_location
40.0,SPRINT,US-East
37.8,SPRINT,US-East
39.9,SPRINT,US-East
32.8,SPRINT,US-East
36.7,SPRINT,US-East
38.1,SPRINT,US-East
30.0,SPRINT,US-East
36.2,SPRINT,US-East
39.3,SPRINT,US-East
31.5,SPRINT,US-East
37.5,SPRINT,US-East
34.6,SPRINT,US-East
35.4,SPRINT,US-East
30.3,SPRINT,US-East
41.7,SPRINT,US-East
37.5,SPRINT,US-East
43.6,SPRINT,US-East
48.4,SPRINT,US-East
36.9,SPRINT,US-East
48.0,SPRINT,US-East
36.1,SPRINT,US-East
35.5,SPRINT,US-East
49.7,SPRINT,US-East
44.7,SPRINT,US-East
46.1,SPRINT,US-East
32.3,SPRINT,US-East
29.7,SPRINT,US-East
43.4,SPRINT,US-East
38.5,SPRINT,US-East
34.5,SPRINT,US-East
42.9,SPRINT,US-East
28.1,SPRINT,US-East
31.0,SPRINT,US-East
44.2,SPRINT,US-East
39.6,SPRINT,US-East
37.9,SPRINT,US-East
44.6,SPRINT,US-East
36.7,SPRINT,US-East
45.5,SPRINT,US-East
45.6,SPRINT,US-East
32.7,SPRINT,US-East
24.2,SPRINT,US-East
33.1,SPRINT,US-East
39.8,SPRINT,US-East
39.0,SPRINT,US-East
40.7,SPRINT,US-East
38.0,SPRINT,US-East
36.4,SPRINT,US-East
39.1,SPRINT,US-East
37.7,SPRINT,US-East
40.1,SPRINT,US-East
47.4,SPRINT,US-East
43.6,SPRINT,US-East
41.6,SPRINT,US-East
33.5,SPRINT,US-East
24.9,SPRINT,US-East
39.5,SPRINT,US-East
41.3,SPRINT,US-East
33.9,SPRINT,US-East
37.2,SPRINT,US-East
37.8,SPRINT,US-East
41.2,SPRINT,US-East
48.2,SPRINT,US-East
38.5,SPRINT,US-East
49.4,SPRINT,US-East
33.4,SPRINT,US-East
28.5,SPRINT,US-East
42.0,SPRINT,US-East
34.2,SPRINT,US-East
46.0,SPRINT,US-East
36.8,SPRINT,US-East
36.3,SPRINT,US-East
39.9,SPRINT,US-East
44.5,SPRINT,US-East
42.6,SPRINT,US-East
37.7,SPRINT,US-East
38.5,SPRINT,US-East
48.1,SPRINT,US-East
42.7,SPRINT,US-East
42.3,SPRINT,US-East
42.1,SPRINT,US-East
43.9,SPRINT,US-East
32.7,SPRINT,US-East
35.5,SPRINT,US-East
41.0,SPRINT,US-East
33.6,SPRINT,US-East
42.6,SPRINT,US-East
42.1,SPRINT,US-East
35.8,SPRINT,US-East
33.2,SPRINT,US-East
38.6,SPRINT,US-East
48.4,SPRINT,US-East
34.2,SPRINT,US-East
37.9,SPRINT,US-East
44.4,SPRINT,US-East
37.9,SPRINT,US-East
42.2,SPRINT,US-East
43.7,SPRINT,US-East
