protocol,num_tcp_conn,location,radio_type,run_num,seq_num,throughput_mbps,rtt_in_ms
ICMP,,A,4G,93,1,,129.5
ICMP,,A,4G,93,2,,54.1
ICMP,,A,4G,93,3,,62.2
ICMP,,A,4G,93,4,,59.4
ICMP,,A,4G,93,5,,59.2
ICMP,,A,4G,93,6,,57.5
ICMP,,A,4G,93,7,,51.9
ICMP,,A,4G,93,8,,52.1
ICMP,,A,4G,93,9,,52.1
ICMP,,A,4G,93,10,,57.9
ICMP,,A,4G,93,11,,57.0
ICMP,,A,4G,93,12,,56.2
ICMP,,A,4G,93,13,,53.4
ICMP,,A,4G,93,14,,55.0
ICMP,,A,4G,93,15,,55.0
ICMP,,A,4G,93,16,,57.2
ICMP,,A,4G,93,17,,55.8
ICMP,,A,4G,93,18,,56.5
ICMP,,A,4G,93,19,,57.1
ICMP,,A,4G,93,20,,54.2
ICMP,,A,4G,93,21,,52.3
ICMP,,A,4G,93,22,,60.8
ICMP,,A,4G,93,23,,55.8
ICMP,,A,4G,93,24,,51.9
ICMP,,A,4G,93,25,,51.9
ICMP,,A,4G,93,26,,58.2
ICMP,,A,4G,93,27,,55.5
ICMP,,A,4G,93,28,,54.0
ICMP,,A,4G,93,29,,63.2
ICMP,,A,4G,93,30,,59.9
ICMP,,A,4G,93,31,,57.5
ICMP,,A,4G,93,32,,55.1
ICMP,,A,4G,93,33,,57.7
ICMP,,A,4G,93,34,,52.2
ICMP,,A,4G,93,35,,51.6
ICMP,,A,4G,93,36,,61.4
ICMP,,A,4G,93,37,,60.6
ICMP,,A,4G,93,38,,56.6
ICMP,,A,4G,93,39,,57.0
ICMP,,A,4G,93,40,,56.9
ICMP,,A,4G,93,41,,53.7
ICMP,,A,4G,93,42,,61.1
ICMP,,A,4G,93,43,,59.4
ICMP,,A,4G,93,44,,58.0
ICMP,,A,4G,93,45,,57.7
ICMP,,A,4G,93,46,,53.6
ICMP,,A,4G,93,47,,51.4
ICMP,,A,4G,93,48,,58.1
ICMP,,A,4G,93,49,,58.1
ICMP,,A,4G,93,50,,56.6
ICMP,,A,4G,93,51,,55.2
ICMP,,A,4G,93,52,,52.0
ICMP,,A,4G,93,53,,52.7
ICMP,,A,4G,93,54,,61.6
ICMP,,A,4G,93,55,,58.5
ICMP,,A,4G,93,56,,55.5
ICMP,,A,4G,93,57,,54.6
ICMP,,A,4G,93,58,,51.4
ICMP,,A,4G,93,59,,66.5
ICMP,,A,4G,93,60,,61.3
ICMP,,A,5G,91,1,,131.2
ICMP,,A,5G,91,2,,52.7
ICMP,,A,5G,91,3,,50.8
ICMP,,A,5G,91,4,,59.0
ICMP,,A,5G,91,5,,67.4
ICMP,,A,5G,91,6,,58.9
ICMP,,A,5G,91,7,,58.1
ICMP,,A,5G,91,8,,59.9
ICMP,,A,5G,91,9,,58.0
ICMP,,A,5G,91,10,,57.6
ICMP,,A,5G,91,11,,58.8
ICMP,,A,5G,91,12,,143.5
ICMP,,A,5G,91,13,,52.0
ICMP,,A,5G,91,14,,55.2
ICMP,,A,5G,91,15,,54.5
ICMP,,A,5G,91,16,,67.2
ICMP,,A,5G,91,17,,58.6
ICMP,,A,5G,91,18,,134.1
ICMP,,A,5G,91,19,,50.7
ICMP,,A,5G,91,20,,50.2
ICMP,,A,5G,91,21,,49.3
ICMP,,A,5G,91,22,,48.7
ICMP,,A,5G,91,23,,47.3
ICMP,,A,5G,91,24,,55.2
ICMP,,A,5G,91,25,,54.6
ICMP,,A,5G,91,26,,54.3
ICMP,,A,5G,91,27,,52.8
ICMP,,A,5G,91,28,,53.6
ICMP,,A,5G,91,29,,52.3
ICMP,,A,5G,91,30,,122.3
ICMP,,A,5G,91,31,,64.7
ICMP,,A,5G,91,32,,60.1
ICMP,,A,5G,91,33,,59.0
ICMP,,A,5G,91,34,,55.8
ICMP,,A,5G,91,35,,55.8
ICMP,,A,5G,91,36,,54.6
ICMP,,A,5G,91,37,,52.5
ICMP,,A,5G,91,38,,53.7
ICMP,,A,5G,91,39,,53.3
ICMP,,A,5G,91,40,,60.5
ICMP,,A,5G,91,41,,53.0
ICMP,,A,5G,91,42,,144.1
ICMP,,A,5G,91,43,,53.5
ICMP,,A,5G,91,44,,162.0
ICMP,,A,5G,91,45,,47.9
ICMP,,A,5G,91,46,,55.4
ICMP,,A,5G,91,47,,55.0
ICMP,,A,5G,91,48,,55.8
ICMP,,A,5G,91,49,,53.0
ICMP,,A,5G,91,50,,52.1
ICMP,,A,5G,91,51,,50.4
ICMP,,A,5G,91,52,,54.0
ICMP,,A,5G,91,53,,50.0
ICMP,,A,5G,91,54,,48.8
ICMP,,A,5G,91,55,,49.5
ICMP,,A,5G,91,56,,48.1
ICMP,,A,5G,91,57,,55.5
ICMP,,A,5G,91,58,,63.0
ICMP,,A,5G,91,59,,53.7
ICMP,,A,5G,91,60,,52.4
ICMP,,C,4G,94,1,,59.7
ICMP,,C,4G,94,2,,55.4
ICMP,,C,4G,94,3,,52.2
ICMP,,C,4G,94,4,,50.4
ICMP,,C,4G,94,5,,58.7
ICMP,,C,4G,94,6,,58.8
ICMP,,C,4G,94,7,,57.5
ICMP,,C,4G,94,8,,55.2
ICMP,,C,4G,94,9,,57.4
ICMP,,C,4G,94,10,,59.0
ICMP,,C,4G,94,11,,63.6
ICMP,,C,4G,94,12,,57.2
ICMP,,C,4G,94,13,,57.2
ICMP,,C,4G,94,14,,61.6
ICMP,,C,4G,94,15,,54.9
ICMP,,C,4G,94,16,,60.3
ICMP,,C,4G,94,17,,51.4
ICMP,,C,4G,94,18,,57.7
ICMP,,C,4G,94,19,,59.5
ICMP,,C,4G,94,20,,55.2
ICMP,,C,4G,94,21,,56.5
ICMP,,C,4G,94,22,,52.5
ICMP,,C,4G,94,23,,66.2
ICMP,,C,4G,94,24,,60.3
ICMP,,C,4G,94,25,,56.5
ICMP,,C,4G,94,26,,57.0
ICMP,,C,4G,94,27,,61.1
ICMP,,C,4G,94,28,,63.0
ICMP,,C,4G,94,29,,74.3
ICMP,,C,4G,94,30,,69.7
ICMP,,C,4G,94,31,,53.2
ICMP,,C,4G,94,32,,57.9
ICMP,,C,4G,94,33,,56.8
ICMP,,C,4G,94,34,,57.7
ICMP,,C,4G,94,35,,59.9
ICMP,,C,4G,94,36,,53.6
ICMP,,C,4G,94,37,,59.9
ICMP,,C,4G,94,38,,62.5
ICMP,,C,4G,94,39,,55.4
ICMP,,C,4G,94,40,,56.3
ICMP,,C,4G,94,41,,60.1
ICMP,,C,4G,94,42,,56.3
ICMP,,C,4G,94,43,,55.6
ICMP,,C,4G,94,44,,52.9
ICMP,,C,4G,94,45,,56.4
ICMP,,C,4G,94,46,,55.7
ICMP,,C,4G,94,47,,52.6
ICMP,,C,4G,94,48,,59.8
ICMP,,C,4G,94,49,,54.0
ICMP,,C,4G,94,50,,57.2
ICMP,,C,4G,94,51,,69.9
ICMP,,C,4G,94,52,,66.0
ICMP,,C,4G,94,53,,60.5
ICMP,,C,4G,94,54,,57.3
ICMP,,C,4G,94,55,,58.0
ICMP,,C,4G,94,56,,56.1
ICMP,,C,4G,94,57,,53.9
ICMP,,C,4G,94,58,,52.5
ICMP,,C,4G,94,59,,62.0
ICMP,,C,4G,94,60,,61.9
ICMP,,C,5G,92,1,,51.4
ICMP,,C,5G,92,2,,50.3
ICMP,,C,5G,92,3,,49.3
ICMP,,C,5G,92,4,,48.8
ICMP,,C,5G,92,5,,47.9
ICMP,,C,5G,92,6,,56.5
ICMP,,C,5G,92,7,,45.6
ICMP,,C,5G,92,8,,56.6
ICMP,,C,5G,92,9,,54.7
ICMP,,C,5G,92,10,,55.1
ICMP,,C,5G,92,11,,53.1
ICMP,,C,5G,92,12,,51.5
ICMP,,C,5G,92,13,,50.6
ICMP,,C,5G,92,14,,49.8
ICMP,,C,5G,92,15,,48.9
ICMP,,C,5G,92,16,,47.8
ICMP,,C,5G,92,17,,57.6
ICMP,,C,5G,92,18,,56.5
ICMP,,C,5G,92,19,,56.9
ICMP,,C,5G,92,20,,54.8
ICMP,,C,5G,92,21,,53.9
ICMP,,C,5G,92,22,,54.8
ICMP,,C,5G,92,23,,51.1
ICMP,,C,5G,92,24,,50.1
ICMP,,C,5G,92,25,,48.2
ICMP,,C,5G,92,26,,49.6
ICMP,,C,5G,92,27,,48.1
ICMP,,C,5G,92,28,,60.0
ICMP,,C,5G,92,29,,56.5
ICMP,,C,5G,92,30,,56.0
ICMP,,C,5G,92,31,,54.3
ICMP,,C,5G,92,32,,53.2
ICMP,,C,5G,92,33,,53.6
ICMP,,C,5G,92,34,,51.3
ICMP,,C,5G,92,35,,50.6
ICMP,,C,5G,92,36,,49.1
ICMP,,C,5G,92,37,,48.1
ICMP,,C,5G,92,38,,57.5
ICMP,,C,5G,92,39,,46.2
ICMP,,C,5G,92,40,,55.5
ICMP,,C,5G,92,41,,54.3
ICMP,,C,5G,92,42,,53.9
ICMP,,C,5G,92,43,,54.5
ICMP,,C,5G,92,44,,54.5
ICMP,,C,5G,92,45,,52.5
ICMP,,C,5G,92,46,,51.2
ICMP,,C,5G,92,47,,50.7
ICMP,,C,5G,92,48,,48.9
ICMP,,C,5G,92,49,,57.6
ICMP,,C,5G,92,50,,57.0
ICMP,,C,5G,92,51,,55.7
ICMP,,C,5G,92,52,,55.3
ICMP,,C,5G,92,53,,54.1
ICMP,,C,5G,92,54,,54.3
ICMP,,C,5G,92,55,,54.7
ICMP,,C,5G,92,56,,51.9
ICMP,,C,5G,92,57,,49.8
ICMP,,C,5G,92,58,,50.2
ICMP,,C,5G,92,59,,48.9
ICMP,,C,5G,92,60,,57.5
TCP,1.0,A,4G,1,20,356.501220599512,62.58
TCP,1.0,A,4G,1,21,367.02986467664,61.821000000000005
TCP,1.0,A,4G,1,22,345.99889781020795,64.02
TCP,1.0,A,4G,1,23,335.551360147708,73.083
TCP,1.0,A,4G,1,24,367.026189147365,70.69
TCP,1.0,A,4G,1,25,366.98733805425104,66.324
TCP,1.0,A,4G,1,26,346.021087733688,78.752
TCP,1.0,A,4G,1,27,346.04179539662994,69.563
TCP,1.0,A,4G,1,28,367.01481297568296,67.892
TCP,1.0,A,4G,1,29,356.49017184816904,67.182
TCP,1.0,A,4G,1,30,314.566200138471,125.929
TCP,1.0,A,4G,1,31,220.214400820363,74.163
TCP,1.0,A,4G,1,32,241.165752687658,66.624
TCP,1.0,A,4G,1,33,220.19938501126498,64.523
TCP,1.0,A,4G,1,34,199.22943999999998,61.537
TCP,1.0,A,4G,1,35,188.74764008308603,69.456
TCP,1.0,A,4G,1,36,188.74462500473098,60.96
TCP,1.0,A,4G,1,37,157.285950001287,65.44800000000001
