protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,4G,A,US-East,1,64.3
ICMP,4G,A,US-East,2,56.3
ICMP,4G,A,US-East,3,57.1
ICMP,4G,A,US-East,4,58.2
ICMP,4G,A,US-East,5,63.8
ICMP,4G,A,US-East,6,58.1
ICMP,4G,A,US-East,7,59.8
ICMP,4G,A,US-East,8,50.4
ICMP,4G,A,US-East,9,55.2
ICMP,4G,A,US-East,10,53.6
ICMP,4G,A,US-East,11,53.8
ICMP,4G,A,US-East,12,53.1
ICMP,4G,A,US-East,13,50.7
ICMP,4G,A,US-East,14,51.4
ICMP,4G,A,US-East,15,59.2
ICMP,4G,A,US-East,16,57.9
ICMP,4G,A,US-East,17,57.1
ICMP,4G,A,US-East,18,65.2
ICMP,4G,A,US-East,19,55.0
ICMP,4G,A,US-East,20,54.3
ICMP,4G,A,US-East,21,52.5
ICMP,4G,A,US-East,22,49.8
ICMP,4G,A,US-East,23,58.7
ICMP,4G,A,US-East,24,58.4
ICMP,4G,A,US-East,25,59.5
ICMP,4G,A,US-East,26,65.5
ICMP,4G,A,US-East,27,59.3
ICMP,4G,A,US-East,28,53.7
ICMP,4G,A,US-East,29,51.8
ICMP,4G,A,US-East,30,52.3
ICMP,4G,A,US-East,31,56.9
ICMP,4G,A,US-East,32,50.9
ICMP,4G,A,US-East,33,63.6
ICMP,4G,A,US-East,34,57.3
ICMP,4G,A,US-East,35,64.1
ICMP,4G,A,US-East,36,54.9
ICMP,4G,A,US-East,37,53.5
ICMP,4G,A,US-East,38,53.3
ICMP,4G,A,US-East,39,56.2
ICMP,4G,A,US-East,40,57.1
ICMP,4G,A,US-East,41,58.9
ICMP,4G,A,US-East,42,58.5
ICMP,4G,A,US-East,43,57.6
ICMP,4G,A,US-East,44,55.8
ICMP,4G,A,US-East,45,56.8
ICMP,4G,A,US-East,46,53.3
ICMP,4G,A,US-East,47,54.3
ICMP,4G,A,US-East,48,49.8
ICMP,4G,A,US-East,49,50.0
ICMP,4G,A,US-East,50,57.6
ICMP,4G,A,US-East,51,56.8
ICMP,4G,A,US-East,52,54.9
ICMP,4G,A,US-East,53,57.3
ICMP,4G,A,US-East,54,59.1
ICMP,4G,A,US-East,55,69.1
ICMP,4G,A,US-East,56,65.4
ICMP,4G,A,US-East,57,67.0
ICMP,4G,A,US-East,58,60.2
ICMP,4G,A,US-East,59,59.1
ICMP,4G,A,US-East,60,58.6
