protocol,num_tcp_conn,seq_num,radio_type,obstruction_type,throughput_mbps,nrStatus,primitive_handoff_type
TCP,8,0,5G,,1477.188832,CONNECTED,
TCP,8,1,5G,,1426.05214,CONNECTED,
TCP,8,2,5G,,1551.957603,CONNECTED,
TCP,8,3,5G,,1572.790128,CONNECTED,
TCP,8,4,5G,,1331.744545,CONNECTED,
TCP,8,5,5G,,1604.353411,CONNECTED,
TCP,8,6,5G,,1614.779705,CONNECTED,
TCP,8,7,5G,,1572.898501,CONNECTED,
TCP,8,8,5G,,1656.599599,CONNECTED,
TCP,8,9,5G,,1531.058577,CONNECTED,
TCP,8,10,5G,,1709.11898,CONNECTED,
TCP,8,11,5G,,1730.133075,CONNECTED,
TCP,8,12,5G,,1814.056808,CONNECTED,
TCP,8,13,5G,,1793.107711,CONNECTED,
TCP,8,14,5G,,1688.215813,CONNECTED,
TCP,8,15,5G,human,2013.24192,CONNECTED,
TCP,8,16,5G,human,1604.332373,CONNECTED,
TCP,8,17,5G,human,1142.941028,CONNECTED,
TCP,8,18,5G,human,964.68601,CONNECTED,
TCP,8,19,5G,human,1101.00585,CONNECTED,
TCP,8,20,5G,human,1080.069074,CONNECTED,
TCP,8,21,5G,human,1079.95655,CONNECTED,
TCP,8,22,5G,human,1184.89314,CONNECTED,
TCP,8,23,5G,human,1331.742322,CONNECTED,
TCP,8,24,5G,human,1331.71692,CONNECTED,
TCP,8,25,5G,,1205.846588,CONNECTED,
TCP,8,26,5G,,1153.449825,CONNECTED,
TCP,8,27,5G,,1184.855286,CONNECTED,
TCP,8,28,5G,,1122.050422,CONNECTED,
TCP,8,29,5G,,1237.253898,CONNECTED,
TCP,8,30,5G,,1247.796813,CONNECTED,
TCP,8,31,5G,,1205.874475,CONNECTED,
TCP,8,32,5G,,1289.752478,CONNECTED,
TCP,8,33,5G,,1593.83856,CONNECTED,
TCP,8,34,5G,,1478.545389,CONNECTED,
TCP,8,35,5G,,1425.986184,CONNECTED,
TCP,8,36,5G,,1677.652803,CONNECTED,
TCP,8,37,5G,,1447.103193,CONNECTED,
TCP,8,38,5G,,1635.850323,CONNECTED,
TCP,8,39,5G,,2044.614981,CONNECTED,
TCP,8,40,5G,,1981.735405,CONNECTED,
TCP,8,41,5G,,1929.40284,CONNECTED,
TCP,8,42,5G,,1426.08342,CONNECTED,
TCP,8,43,5G,,1510.030804,CONNECTED,
TCP,8,44,5G,,1950.248135,CONNECTED,
TCP,8,45,5G,,1856.04634,CONNECTED,
TCP,8,46,5G,,1939.906301,CONNECTED,
TCP,8,47,5G,,2002.634056,CONNECTED,
TCP,8,48,5G,,2055.286873,CONNECTED,
TCP,8,49,5G,,2002.770133,CONNECTED,
TCP,8,50,5G,,1897.964643,CONNECTED,
TCP,8,51,5G,,1824.52398,CONNECTED,
TCP,8,52,5G,,1698.67611,CONNECTED,
TCP,8,53,5G,,1488.913668,CONNECTED,
TCP,8,54,5G,,2013.437295,CONNECTED,
TCP,8,55,5G,,2076.18246,CONNECTED,
TCP,8,56,5G,,2034.164208,CONNECTED,
TCP,8,57,5G,,2055.122724,CONNECTED,
TCP,8,58,5G,,2023.692817,CONNECTED,
TCP,8,59,5G,,2055.338818,CONNECTED,
TCP,8,60,5G,,2034.233075,CONNECTED,
TCP,8,61,5G,,2044.743675,CONNECTED,
TCP,8,62,5G,,2044.72515,CONNECTED,
TCP,8,63,5G,,2023.64843,CONNECTED,
TCP,8,64,5G,,2054.145231,CONNECTED,
TCP,8,65,5G,,1836.017868,CONNECTED,
TCP,8,66,5G,,1772.089638,CONNECTED,
TCP,8,67,5G,,1845.52148,CONNECTED,
TCP,8,68,5G,,1751.051783,CONNECTED,
TCP,8,69,5G,,1918.940289,CONNECTED,
TCP,8,70,5G,,1751.209599,CONNECTED,
TCP,8,71,5G,hand,1562.359243,CONNECTED,
TCP,8,72,5G,hand,1635.738001,CONNECTED,
TCP,8,73,5G,hand,1321.175206,CONNECTED,
TCP,8,74,5G,hand,744.543279,CONNECTED,
TCP,8,75,5G,hand,702.5065597,CONNECTED,
TCP,8,76,5G,hand,713.0238601,CONNECTED,
TCP,8,77,5G,hand,796.92251,CONNECTED,
TCP,8,78,5G,hand,1373.563169,CONNECTED,
TCP,8,79,5G,hand,1321.267818,CONNECTED,
TCP,8,80,5G,hand,1342.20032,CONNECTED,
TCP,8,81,5G,hand,1321.164811,CONNECTED,
TCP,8,82,5G,hand,1268.794505,CONNECTED,
TCP,8,83,5G,hand,1237.289001,CONNECTED,
TCP,8,84,5G,hand,1080.078602,CONNECTED,
TCP,8,85,5G,,1331.684853,CONNECTED,
TCP,8,86,5G,,1478.487578,CONNECTED,
TCP,8,87,5G,,1426.062,CONNECTED,
TCP,8,88,5G,,2013.217441,CONNECTED,
TCP,8,89,5G,,1981.830375,CONNECTED,
TCP,8,90,5G,,1939.852188,CONNECTED,
TCP,8,91,5G,,1960.7684,CONNECTED,
TCP,8,92,5G,,1908.462012,CONNECTED,
TCP,8,93,5G,,1992.379904,CONNECTED,
TCP,8,94,5G,,1981.778873,CONNECTED,
TCP,8,95,5G,,1824.526155,CONNECTED,
TCP,8,96,5G,,1897.870976,CONNECTED,
