protocol,num_tcp_conn,seq_num,radio_type,obstruction_type,throughput_mbps,nrStatus,primitive_handoff_type
TCP,8,0,5G,,485.3332553,CONNECTED,
TCP,8,1,5G,,490.158469,CONNECTED,
TCP,8,2,5G,,552.9973398,CONNECTED,
TCP,8,3,5G,,506.1775945,CONNECTED,
TCP,8,4,5G,,479.2053911,CONNECTED,
TCP,8,5,5G,,449.1086009,CONNECTED,
TCP,8,6,5G,,436.1316174,CONNECTED,
TCP,8,7,5G,,504.7005421,CONNECTED,
TCP,8,8,5G,,549.8683686,CONNECTED,
TCP,8,9,5G,,550.4787525,CONNECTED,
TCP,8,10,5G,,553.6044328,CONNECTED,
TCP,8,11,5G,,465.1628778,CONNECTED,
TCP,8,12,5G,,510.7532606,CONNECTED,
TCP,8,13,5G,,422.7887759,CONNECTED,
TCP,8,14,5G,,453.9125961,CONNECTED,
TCP,8,15,5G,human,391.9963714,CONNECTED,
TCP,8,16,4G,human,230.7539987,NOT_RESTRICTED,P1
TCP,8,17,4G,human,26.40545252,NOT_RESTRICTED,
TCP,8,18,4G,human,12.39039563,NOT_RESTRICTED,
TCP,8,19,4G,human,140.9507352,NOT_RESTRICTED,
TCP,8,20,4G,human,152.0781635,NOT_RESTRICTED,
TCP,8,21,4G,human,154.6867845,NOT_RESTRICTED,
TCP,8,22,4G,human,172.7648448,NOT_RESTRICTED,
TCP,8,23,4G,human,156.6982092,NOT_RESTRICTED,
TCP,8,24,4G,human,183.537734,NOT_RESTRICTED,
TCP,8,25,4G,human,208.4650737,NOT_RESTRICTED,
TCP,8,26,5G,,197.9757926,CONNECTED,P2
TCP,8,27,5G,,169.0077938,CONNECTED,
TCP,8,28,5G,,152.5071045,CONNECTED,
TCP,8,29,5G,,376.387633,CONNECTED,
TCP,8,30,5G,,338.5116715,CONNECTED,
TCP,8,31,5G,,366.0044221,CONNECTED,
TCP,8,32,5G,,373.367734,CONNECTED,
TCP,8,33,5G,,380.4507818,CONNECTED,
TCP,8,34,5G,,379.4542444,CONNECTED,
TCP,8,35,5G,,371.4536655,CONNECTED,
TCP,8,36,5G,,389.6113862,CONNECTED,
TCP,8,37,5G,,363.2072253,CONNECTED,
TCP,8,38,5G,,409.4903966,CONNECTED,
TCP,8,39,5G,,469.9588823,CONNECTED,
TCP,8,40,5G,,494.6520481,CONNECTED,
TCP,8,41,5G,,552.3318835,CONNECTED,
TCP,8,42,5G,,555.0608837,CONNECTED,
TCP,8,43,5G,,586.4597281,CONNECTED,
TCP,8,44,5G,,601.1479031,CONNECTED,
TCP,8,45,5G,,590.3338156,CONNECTED,
TCP,8,46,5G,,616.170921,CONNECTED,
TCP,8,47,5G,,585.70496,CONNECTED,
TCP,8,48,5G,,519.1135363,CONNECTED,
TCP,8,49,5G,,407.376945,CONNECTED,
TCP,8,50,5G,,476.0849046,CONNECTED,
TCP,8,51,5G,,488.0115218,CONNECTED,
TCP,8,52,5G,,500.4027349,CONNECTED,
TCP,8,53,5G,,466.5687909,CONNECTED,
TCP,8,54,5G,,451.2118974,CONNECTED,
TCP,8,55,5G,,366.1586003,CONNECTED,
TCP,8,56,5G,,390.5282333,CONNECTED,
TCP,8,57,5G,,340.9898898,CONNECTED,
TCP,8,58,5G,,309.1922832,CONNECTED,
TCP,8,59,5G,,352.0492485,CONNECTED,
TCP,8,60,5G,,369.9472047,CONNECTED,
TCP,8,61,5G,,442.0534194,CONNECTED,
TCP,8,62,5G,,394.7419856,CONNECTED,
TCP,8,63,5G,,424.7078115,CONNECTED,
TCP,8,64,5G,,322.5656973,CONNECTED,
TCP,8,65,5G,,372.0463317,CONNECTED,
TCP,8,66,5G,,415.2915243,CONNECTED,
TCP,8,67,5G,,391.0015963,CONNECTED,
TCP,8,68,5G,,386.3931491,CONNECTED,
TCP,8,69,5G,,427.4393232,CONNECTED,
TCP,8,70,5G,,478.2013873,CONNECTED,
TCP,8,71,5G,,452.7729967,CONNECTED,
TCP,8,72,5G,hand,498.2829296,CONNECTED,
TCP,8,73,4G,hand,338.2668006,NOT_RESTRICTED,P1
TCP,8,74,4G,hand,47.81529785,NOT_RESTRICTED,
TCP,8,75,4G,hand,142.6679282,NOT_RESTRICTED,
TCP,8,76,4G,hand,154.8782884,NOT_RESTRICTED,
TCP,8,77,4G,hand,141.1027865,NOT_RESTRICTED,
TCP,8,78,4G,hand,127.5553339,NOT_RESTRICTED,
TCP,8,79,4G,hand,154.97434,NOT_RESTRICTED,
TCP,8,80,4G,hand,153.9974481,NOT_RESTRICTED,
TCP,8,81,4G,hand,143.4883932,NOT_RESTRICTED,
TCP,8,82,4G,hand,142.5045183,NOT_RESTRICTED,
TCP,8,83,4G,hand,129.4562061,NOT_RESTRICTED,
TCP,8,84,4G,hand,148.2880908,NOT_RESTRICTED,
TCP,8,85,4G,hand,132.8383576,NOT_RESTRICTED,
TCP,8,86,5G,,249.9267047,CONNECTED,P2
TCP,8,87,5G,,132.1956542,CONNECTED,
TCP,8,88,5G,,200.9433622,CONNECTED,
TCP,8,89,5G,,494.6801849,CONNECTED,
TCP,8,90,5G,,597.8116927,CONNECTED,
TCP,8,91,5G,,649.0227336,CONNECTED,
TCP,8,92,5G,,717.9654465,CONNECTED,
TCP,8,93,5G,,604.8785477,CONNECTED,
TCP,8,94,5G,,588.9075333,CONNECTED,
TCP,8,95,5G,,500.6435425,CONNECTED,
