record_id,protocol,chrome_parallel_flag,file_size_in_bytes,time_to_download_in_seconds
1,HTTP1.1,n,1073741824,41.058
2,HTTP1.1,n,1073741824,44.319
3,HTTP1.1,n,1073741824,39.149
4,HTTP1.1,n,1073741824,53.192
5,HTTP1.1,n,1073741824,41.381
6,HTTP1.1,n,1073741824,42.212
7,HTTP1.1,n,1073741824,51.656000000000006
8,HTTP1.1,n,1073741824,44.161
9,HTTP1.1,n,1073741824,50.218
10,HTTP1.1,n,1073741824,48.862
11,HTTPs1.1,n,1073741824,50.884
12,HTTPs1.1,n,1073741824,56.266000000000005
13,HTTPs1.1,n,1073741824,53.48500000000001
14,HTTPs1.1,n,1073741824,55.42400000000001
15,HTTPs1.1,n,1073741824,50.690000000000005
16,HTTPs1.1,n,1073741824,54.209
17,HTTPs1.1,n,1073741824,56.221000000000004
18,HTTPs1.1,n,1073741824,54.737
19,HTTPs1.1,n,1073741824,52.536
20,HTTPs1.1,n,1073741824,55.338
